,n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean
0,1,2.994134765239284e-17,0.5857261775265198,3.602417470648716,3.120218579234973
1,2,3.0099023251550966e-17,0.7761864448001068,3.3619323484596912,3.795066413662239
2,3,3.566780125025179e-17,1.1750483816848414,4.564203907881529,4.7114252061248525
3,4,4.033661003667512e-17,1.5053310643873967,4.056304171730056,5.388140161725067
4,5,3.566780125025179e-17,1.7405915585108371,4.2138647163855625,5.6417489421720735
5,6,6.962633455996627e-17,1.975677047961008,4.539365026303959,5.958271236959762
6,7,4.7397949122937965e-17,2.1146006892881237,4.414135255395143,6.100609756097561
7,8,4.688637435059341e-17,2.28459716179428,4.7990099791724115,6.286163522012578
8,9,9.252650785454891e-17,2.4707223221635553,4.612227506714204,6.458064516129032
9,10,9.262205766577503e-17,2.666608221511175,4.531612570223522,6.556650246305419
10,11,5.493855695690765e-16,2.796064962302634,4.812576080383559,6.6318407960199
11,12,1.0275911928809821e-16,2.8738950361699773,4.759870081638415,6.710217755443886
12,13,1.9827591581703306e-16,2.958207520069509,4.657405353965421,6.737373737373737
13,14,6.0825551944045245e-05,3.145828778997616,4.886425989845902,6.852739726027397
14,15,4.149318351927315e-14,3.125406356433039,4.729297243064668,6.786078098471987
15,16,1.2600934470373537e-16,3.236168746523432,4.86007025569161,6.8074957410562185
16,17,0.10253636264552039,3.2973461120841367,4.998314163378849,6.829351535836177
17,18,0.09069971945816528,3.4284795220972284,5.228331311677322,6.913494809688581
18,19,1.8150884375375535e-13,3.49348806238982,5.101931143309972,6.821124361158433
19,20,0.027132326997871187,3.5834568291226483,5.4396247517718574,6.869415807560137
20,21,0.09741803246910834,3.6512138097677225,5.177318084497457,6.9119170984455955
21,22,1.0002169325711991,3.7724276790220337,5.427844510934685,6.932409012131716
22,23,0.43265148096135864,3.8834937779913314,5.318881929669523,6.934142114384748
23,24,0.157086349673503,3.9732962952563606,5.528062313346858,6.89328743545611
24,25,0.12378374585218276,4.092970500321173,5.637350572738043,6.911764705882353
25,26,1.2600934470373537e-16,4.1738028528161095,5.75098816840961,6.935875216637782
26,27,0.3427602527464567,4.182579232972562,5.719428644707031,6.944444444444445
27,28,0.5305984034564503,4.298377731486026,5.631628168557752,6.922010398613518
28,29,0.38476687898226636,4.428686721414552,5.74253533408616,6.956597222222222
29,30,1.2710319465810929,4.525936410665387,5.680096434120596,6.953043478260869
30,31,0.3475976560832417,4.580911620070768,5.944127107517886,6.947916666666667
31,32,0.9412349868679104,4.692938147183718,6.022598096805866,6.975567190226876
32,33,2.0815909777723696,4.7779939362984925,5.843634431841447,6.984293193717278
33,34,0.5565947628553332,4.840782475020951,5.912243121236549,6.972076788830716
34,35,1.5927536458734814,4.933812579580349,6.017234709850712,6.984293193717278
35,36,0.354034061448877,4.976408757828608,6.114837611609756,6.953043478260869
36,37,3.4223196954561867,5.083608311425077,6.129883022988391,6.996503496503497
37,38,3.9116632912395985,5.164468511413773,6.089103522745514,6.996497373029772
38,39,2.102850790964842,5.189409213011271,6.181707176970544,6.994755244755245
39,40,0.5538630013701055,5.237611741428722,6.174251407881403,6.984293193717278
40,41,3.925973328695118,5.293608238757122,6.176261649820165,7.0
41,42,1.3381954334617179,5.310999632674769,6.138211851518985,6.986013986013986
42,43,4.116822849041416,5.409774294752028,6.139082545606156,7.0
43,44,0.6685994403412073,5.415331419508363,6.181814949493347,6.989510489510489
44,45,3.082010851638394,5.450803909314543,6.215834464951867,6.996497373029772
45,46,0.10258742004108651,5.45086976131501,6.153125592327187,6.982578397212544
46,47,3.42930554056848,5.522833980807515,6.209679500519535,6.994746059544658
47,48,1.8276995274139551,5.582087812815359,6.265063345984631,6.991273996509599
48,49,3.8164137276788166,5.6421999474879065,6.2511782139968926,6.996503496503497
49,50,4.556387233425356,5.697693336335509,6.234481652723257,7.0
50,51,1.2836049551899535,5.706693772702539,6.281462419888176,6.993019197207679
51,52,3.5945763000020836,5.7168599351803735,6.224123256795786,6.996503496503497
52,53,4.740909608004428,5.75069060132621,6.266179897356267,7.0
53,54,4.481314227762128,5.794477972735422,6.25972330436722,7.0
54,55,4.524149058679757,5.806646090648281,6.265727174455832,7.0
55,56,5.1477876426952545,5.850779323200214,6.270662555237714,7.0
56,57,5.195702656243725,5.861530445821913,6.2611641591406855,7.0
