Temperatura ambiente,Tarifa da energia elétrica,Concept ação 1,Concept ação 2,Concept ação 3,Concept ação 4,Concept ação 5,Concept ação 6,Concept ação 7
28.0,1.75,1.0,5.0,5.0,5.0,5.0,1.0,3.0
28.0,2.0,0.0,5.0,5.0,5.0,5.0,5.0,1.0
28.0,2.25,3.0,1.0,5.0,5.0,5.0,5.0,5.0
29.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0
29.0,1.25,0.0,5.0,5.0,5.0,5.0,5.0,5.0
29.0,1.5,1.0,5.0,5.0,5.0,5.0,5.0,5.0
29.0,1.75,2.0,5.0,5.0,5.0,5.0,5.0,5.0
29.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0
29.0,2.25,3.0,5.0,5.0,5.0,1.0,2.0,5.0
30.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0
30.0,1.25,5.0,5.0,5.0,5.0,5.0,5.0,5.0
30.0,1.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0
30.0,1.75,5.0,5.0,5.0,5.0,5.0,5.0,5.0
30.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0
30.0,2.25,5.0,5.0,5.0,5.0,5.0,5.0,5.0
