Temperatura ambiente,Tarifa da energia elétrica,IQB 1,IQB 2,IQB 3,IQB 4,IQB 5,IQB 6,IQB 7,IQB médio,IQB total,Recompensa total,Custo elétrico total,Custo de gás total,Custo de água total
23.0,1.0,0.1270070789634187,0.8806251808603132,1.0,1.0,1.0,1.0,1.0,0.8582331799748187,6.0076322598237315,28.787196252807213,0.22916666666666666,0.49608510638297865,0.29654660659513365
23.0,1.25,0.1270070789634187,0.9094679726384278,1.0,1.0,1.0,1.0,1.0,0.8623535788002638,6.036475051601847,28.924728544724914,0.240625,0.49156028368794313,0.28483642959637046
23.0,1.5,0.1270070789634187,0.9094681064634504,1.0,1.0,0.9915989103395969,1.0,1.0,0.8611534422523522,6.028074095766466,28.736316271767677,0.3244999999999999,0.4759290780141844,0.27912512905046677
23.0,1.75,0.1270070789634187,0.909467930319688,1.0,1.0,1.0,1.0,1.0,0.8623535727547296,6.036475009283107,28.560166331887235,0.4234999999999999,0.48456737588652476,0.29064133864177333
23.0,2.0,0.1270070789634187,0.9094681064634504,0.9357308119756255,1.0,1.0,1.0,1.0,0.8531722853432135,5.972205997402495,28.305969071235783,0.38499999999999995,0.49608510638297876,0.28897580939370826
23.0,2.25,0.1270070789634187,0.9094678493043112,1.0,1.0,1.0,1.0,1.0,0.8623535611811042,6.0364749282677295,28.491331790687678,0.46199999999999997,0.4841560283687943,0.28288682228217416
