,n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean
0,1,6.75359522856257e-07,1.335415377243795,4.159960209455059,4.368708971553611
1,2,7.373921317305228e-07,1.7005777870603747,4.505659015667794,5.268421052631579
2,3,8.571267031712223e-07,1.9700477368045168,5.08392797074883,5.740315638450502
3,4,7.317419767225823e-07,2.280039248870697,4.845059744938129,6.131901840490798
4,5,6.539229234035113e-07,2.4313243878389534,4.720183989141129,6.259780907668231
5,6,1.1958528643521154e-06,2.673086951348687,4.582982569056807,6.531045751633987
6,7,1.1467297883086578e-06,2.8409801787569826,4.8841039423167985,6.63681592039801
7,8,1.035846983255827e-06,3.025022962058423,5.41527124991122,6.764805414551607
8,9,7.813867239244989e-07,3.1787510335676257,5.15204202952057,6.801020408163265
9,10,7.640948301646211e-06,3.3795768257258456,5.548772432631166,6.886402753872633
10,11,2.1664508507890507e-06,3.515318864986373,5.620103125653755,6.927335640138408
11,12,6.69613075992397e-05,3.733880152220606,5.334429055641088,6.922010398613518
12,13,1.6858830362462216,3.897486386243059,5.674769211080575,7.0
13,14,9.94594321403167e-07,4.004510882132245,5.77367230728115,6.947916666666667
14,15,0.0034140397307539524,4.194546039940123,5.964867127965965,6.954782608695652
15,16,0.5660904184496393,4.255183833339458,5.951352006202305,6.977312390924957
16,17,2.773999443678377,4.404552824975057,5.776547090084693,7.0
17,18,2.8775110097563466e-06,4.532896065995726,6.013282411090225,6.989510489510489
18,19,2.8606725925173704,4.736291642457979,5.990244298868103,7.0
19,20,0.8006189047688375,4.844197506056831,6.211064492658282,6.991258741258742
20,21,0.00020953804611243432,4.983128081068571,6.329971016399692,6.982547993019197
21,22,3.1280269234472917,5.053420610569481,6.115304118291794,7.0
22,23,3.5095152582376152,5.119712408492321,6.368648439194541,7.0
23,24,1.1954562915375582e-06,5.1738600808703525,6.247816202285133,6.989510489510489
24,25,3.631102119655045,5.254597638596363,6.217576161867133,7.0
25,26,3.9374678565577206,5.289462639294879,6.103512916840209,7.0
26,27,4.092554886755299,5.347549535045538,6.272744697335179,7.0
27,28,4.329567991651436,5.388262419387616,6.17294311411965,7.0
28,29,3.983793766126314,5.416251343435317,6.253157834663689,7.0
29,30,4.43581742913833,5.553659989122864,6.40578246900204,7.0
30,31,4.380204250685008,5.656075365900721,6.336195840196974,7.0
31,32,4.393448708499915,5.712211601176725,6.443430003808908,7.0
32,33,4.32287140380681,5.736704410869957,6.335962704153671,7.0
33,34,4.331997788686116,5.7330856297679595,6.3258274906461835,7.0
34,35,4.638907632247433,5.808632702951468,6.415850893099438,7.0
35,36,4.302792383378479,5.825842694655113,6.381086640166071,7.0
36,37,4.707512293090946,5.886250821102906,6.368620837574947,7.0
37,38,4.5416025740271975,5.912610036933254,6.3637882418265574,7.0
38,39,4.931212539123305,5.925543704369548,6.4436759029746495,7.0
39,40,4.707605127282782,5.9391779824261555,6.456810844413444,7.0
40,41,1.20460959357165e-06,5.907897473447549,6.409256027432345,6.989510489510489
41,42,2.9489782354021128e-06,5.957695508566721,6.470418737620745,6.989528795811518
42,43,5.1321861752991165,6.009701877546729,6.43768271013753,7.0
43,44,5.048219257615617,6.014518585214125,6.461388572145803,7.0
44,45,5.1575067158870365,6.05186678528808,6.460792902027403,7.0
45,46,5.205531495552394,6.106108851230128,6.453998155140824,7.0
46,47,5.179202237764716,6.09290904625564,6.4846769533498225,7.0
47,48,5.111544741552425,6.090084482141418,6.460490921746604,7.0
48,49,5.260955505967799,6.1191312529377,6.583754454917048,7.0
49,50,2.7395354851459565e-06,6.113864350271369,6.483266681376822,6.989510489510489
50,51,5.292705446395734,6.128118485178891,6.512669042940802,7.0
51,52,4.051140000619759,6.136968670739366,6.472230983372742,7.0
52,53,5.572756504533697,6.1560686443224375,6.495488912239857,7.0
53,54,4.4590016883904635,6.149015755533427,6.535383438405037,7.0
54,55,5.018830768629464,6.165690700285242,6.465015887704498,7.0
55,56,5.560322241074504,6.182098556217551,6.444457623298847,7.0
56,57,4.941862970149026,6.176101600194056,6.606036554580077,7.0
57,58,5.0082852998613925,6.159213176127937,6.46524388248495,7.0
58,59,5.313266657580482,6.174005148046353,6.537772199387578,7.0
59,60,0.0001720346644477897,6.156664368130281,6.542086921348354,6.989510489510489
60,61,5.6185798456069,6.205156056069748,6.517928074817688,7.0
61,62,5.252860489409028,6.208780147800904,6.5194424036668215,7.0
62,63,5.333412399558202,6.23757195944279,6.548282466762348,7.0
63,64,5.620895326954103,6.261737626362289,6.569998377887924,7.0
64,65,5.453748829473697,6.292993134855812,6.593821506889874,7.0
65,66,5.106561317399468,6.3022620562668425,6.575109160431309,7.0
66,67,1.0657832864812085e-05,6.284428459646676,6.580934527747898,6.989528795811518
67,68,5.719786307966747,6.301678533311942,6.611240122582541,7.0
68,69,5.655195823222167,6.299638229653144,6.581286983341665,7.0
69,70,5.2415263536093875,6.280084229592174,6.5651446943211855,7.0
70,71,5.214222989502898,6.279376446956051,6.527192320510659,7.0
71,72,5.608377106005424,6.305233310757169,6.617666181120725,7.0
72,73,5.627001308363121,6.315759130360393,6.617476679027547,7.0
73,74,5.193748267778634,6.310809169156687,6.646414753735034,7.0
74,75,1.2858348010806807e-06,6.309743471527757,6.5985236550126505,6.989528795811518
75,76,5.328586507993167,6.333458483863221,6.629713783050281,7.0
76,77,5.222545443849964,6.342215315951835,6.637833557984097,7.0
77,78,5.589209035358429,6.3423087021504925,6.590380219778149,7.0
78,79,5.550259315511679,6.3310027200333625,6.605354978831573,7.0
79,80,5.092456987367751,6.324994960594779,6.596678082474484,7.0
80,81,5.334778851858101,6.331583819378637,6.615314702757651,7.0
81,82,5.704267528102935,6.35126101283939,6.616713904560746,7.0
82,83,5.377206231540088,6.360513884839312,6.57300975291439,7.0
83,84,6.0264119038807324,6.381266426005421,6.625293841917643,7.0
84,85,5.605555414209749,6.388583524896825,6.661590468483002,7.0
85,86,5.622013804936441,6.394679512747605,6.628838237326064,7.0
86,87,5.371044212993641,6.399582144325967,6.633942897944199,7.0
87,88,5.03425397178863,6.396725954114385,6.635950444393873,7.0
88,89,5.827343204059113,6.405661927457841,6.657241180400352,7.0
89,90,5.641855551792566,6.4195018836946875,6.649314734476356,7.0
90,91,5.284454762135686,6.420497556748987,6.648197746183619,7.0
91,92,5.111170096625717,6.4270839896168335,6.633734408072627,7.0
92,93,5.541233787567553,6.426910305979388,6.659575575037229,7.0
93,94,5.898419671980496,6.4414430517521035,6.6350288128666834,7.0
94,95,5.273704312735734,6.435288182212182,6.663572093432617,7.0
95,96,5.49701753484417,6.432775665416062,6.651695289160754,7.0
96,97,5.72535111506404,6.429401952604382,6.621927103095451,7.0
97,98,5.478452957582663,6.438688145333447,6.653243200093887,7.0
98,99,5.612168947590744,6.43821397419191,6.638364089092685,7.0
99,100,5.37465437309541,6.437450054408019,6.627665164280876,7.0
