,n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean
0,1,8.977288258406879e-53,0.24077063583191397,2.1592479093614116,2.387462686567164
1,2,9.385617647177709e-53,0.29095054619256294,2.5648535184831753,2.607702349869452
2,3,9.385617647177709e-53,0.40284328858885754,2.682337629204682,2.9880418535127053
3,4,2.994545185202318e-52,0.573739516020809,3.6158767456427228,3.7246511627906975
4,5,9.385617647177709e-53,0.7788312308703128,2.9500671938011735,4.389681668496158
5,6,7.609058826217118e-52,1.0428321344196525,3.1732607606932173,5.107142857142857
6,7,1.0121072571861674e-52,1.240801474341559,3.209477668122346,5.513812154696133
7,8,1.913153706015824e-52,1.4579126777166018,3.114972005711227,5.955423476968797
8,9,1.91628120921173e-52,1.6121066717285795,3.1398018290425207,6.127300613496932
9,10,1.0141306188223294e-51,1.8290907905992164,3.4366379249492125,6.458804523424879
10,11,1.0141306188223294e-51,1.9086939007014514,3.7114450971183897,6.543371522094926
11,12,8.425047455223439e-52,2.018573129321598,3.4943423641140177,6.651162790697675
12,13,2.4860230606927084e-47,2.100069615612716,3.3350532943045117,6.693979933110368
13,14,1.0141306188223294e-51,2.187175659276584,3.3494867856702055,6.784380305602716
14,15,6.575298934486929e-51,2.2886938677393824,3.7831094040772664,6.842735042735042
15,16,1.9575918671945547e-42,2.3079871461142583,3.6483613214245625,6.861063464837049
16,17,1.3850077243417334e-49,2.4145408136978923,3.679290157929277,6.922145328719723
17,18,2.237903988321623e-06,2.4099108332555734,3.6490398458027373,6.932409012131716
18,19,5.246619755078717e-47,2.4677499010156025,4.008352828750743,6.968641114982578
19,20,3.8514038168903265e-48,2.5363706315729377,3.734962317103947,6.961672473867596
20,21,5.246619755078717e-47,2.5602623206395996,3.894341732411269,6.96
21,22,0.8279853373110792,2.655673470812229,3.799788886172317,6.989510489510489
22,23,8.358264792879313e-32,2.6514441439436705,3.846393984354167,6.973867595818815
23,24,8.869191600254438e-51,2.6754305154583164,3.871149869201787,6.965156794425087
24,25,2.437789442335171e-46,2.7016826962172864,3.729840627413991,6.942708333333333
25,26,0.1165786211274846,2.760385294381888,4.370655156700801,6.968695652173913
26,27,0.0003021250176428041,2.7850666116585314,4.065242261757487,6.954782608695652
27,28,0.13273957743475684,2.8424779290633992,4.008464855336747,6.972076788830716
28,29,0.12959884543670377,2.9169438276861603,4.064832060730939,6.986013986013986
29,30,6.575298934486929e-51,2.916696761349003,4.177460405201441,6.963478260869565
30,31,0.027683116357533927,2.956928617165969,3.95488071378308,6.970383275261324
31,32,0.7174203456279173,3.0164966871118706,4.085512088847048,6.986013986013986
32,33,0.12587608376159162,3.0471165286707715,3.9693090788576626,6.975609756097561
33,34,5.246619755078717e-47,3.11067787116663,4.072800970227885,6.977312390924957
34,35,3.8514038168903265e-48,3.2144718092543565,4.256019715227114,6.987783595113438
35,36,0.1292148856857899,3.214988522724652,4.244990760229675,6.989510489510489
36,37,5.246619755078717e-47,3.260341613966523,4.213241727536883,6.989528795811518
37,38,0.10987048493231559,3.3369931034814084,4.48214163618307,6.980769230769231
38,39,2.2336709986653847,3.3875942218455166,4.508617414084371,7.0
39,40,0.12963560270926594,3.416223890963436,4.445033344930806,6.9825174825174825
40,41,2.368567133506937,3.500954175731002,4.364659307068285,7.0
41,42,3.1572535199450597e-49,3.595335696631728,4.369344833012013,6.989510489510489
42,43,1.035691846256586,3.6726600601951835,4.4375051427465415,6.989510489510489
43,44,2.4889332315340287,3.762545008350864,4.551433178015179,6.996503496503497
44,45,2.7650799959758023,3.779269562479885,4.555204010125474,7.0
45,46,0.10800198202397024,3.7976898428376007,4.496636084746716,6.986013986013986
46,47,2.3646048826295347,3.8811850260544594,4.530395720156952,7.0
47,48,3.1572535199450597e-49,3.893034017697877,4.582353922055657,6.989510489510489
48,49,0.12975710470279853,3.9344151144915536,4.694905318885849,6.984293193717278
49,50,0.12959884543670377,4.003443487239651,4.5360172891692345,6.993006993006993
50,51,0.12575934496054508,4.052315729844554,4.6164116977400225,6.991258741258742
51,52,3.0444979044908593,4.138001329747421,4.710558426207783,7.0
52,53,3.0537106502129077,4.184569921281033,4.709314213801188,7.0
53,54,3.439290316257455,4.229594523690056,4.72547609141843,7.0
54,55,0.13009892125094297,4.258067446300448,4.681337209677411,6.993006993006993
55,56,3.1229157475625584,4.2687346178187795,4.7515849895952815,6.998251748251748
56,57,1.3720212611715508,4.30211627772676,4.705057852434461,6.994746059544658
57,58,3.404702560841669,4.35202977185217,4.7274503331515625,6.998251748251748
58,59,0.12959610899930812,4.372280416814087,4.786700752212407,6.993006993006993
59,60,2.413143137324553e-51,4.3935766745528975,4.738280808539937,6.989510489510489
60,61,6.575298934486929e-51,4.398121193871834,4.744559760218767,6.986038394415358
61,62,3.6235119476834883,4.457518700343165,4.741550024710038,7.0
62,63,3.3700999239100486,4.454572711191237,4.754980377868322,6.998251748251748
63,64,3.8056980663315154,4.493375115739635,4.931338844617715,7.0
64,65,1.2104420789208055,4.492671430859506,4.779209731509721,6.994755244755245
65,66,3.7695467784069705,4.524220929916886,4.774928246024415,7.0
66,67,3.6692018841136576,4.528202903873445,4.771589386239438,7.0
67,68,1.3388996409371387e-05,4.536937922648906,4.861774094652583,6.989510489510489
68,69,1.6018392692037536e-44,4.544364806440692,4.818100414146414,6.989528795811518
69,70,3.8735894968831652,4.552239508176922,4.830991500432816,7.0
70,71,3.6928918282790657,4.567709423559173,4.831226457917511,7.0
71,72,4.119321461974147,4.5864109815830165,4.9221737749365335,7.0
72,73,3.8514038168903265e-48,4.589996996777989,4.89702397367871,6.989528795811518
73,74,5.645531046986117e-06,4.5944891262076375,4.778925526079495,6.991243432574431
74,75,4.277371210905201,4.616041107111678,4.837983597873953,7.0
75,76,4.139677219871463,4.627088128678514,4.789338591859052,7.0
76,77,4.052583779839368,4.628422553840443,4.875509633251858,7.0
