Temperatura ambiente,Tarifa da energia elétrica,IQB 1,IQB 2,IQB 3,IQB 4,IQB 5,IQB 6,IQB 7,IQB médio,IQB total,Recompensa total,Custo elétrico total,Custo de gás total,Custo de água total
15.0,1.0,7.746603025694917e-05,0.1077595773606856,0.8224852997383277,0.9551971666054064,0.9506447700955224,0.9510369422542032,0.9564872291229216,0.6776697787439033,4.743688451207324,21.49247126910587,0.5426666666666669,0.7626382978723403,0.3779993557250742
15.0,1.25,7.746603025694917e-05,0.1196260670273321,0.7935053181250349,0.955163480610333,0.950714635566725,0.9509583769233724,0.9563718603347408,0.6752024578025422,4.726417204617795,21.091322729916804,0.6966666666666668,0.7642836879432624,0.3831462718955729
15.0,1.5,7.746603025694917e-05,0.1077595773606856,0.8224853932316938,0.9551076652170554,0.9506268986818296,0.9510106442884227,0.9564623878839718,0.6776471475277023,4.743530032693916,20.94901250987217,0.8140000000000001,0.7626382978723404,0.3779993557250742
15.0,1.75,7.746603025694917e-05,0.1077595773606856,0.8224835458643972,0.9550433838587136,0.9506797841915928,0.950964939113514,0.951184262916342,0.6768847084765002,4.738192959335501,20.632814311138837,0.9560833333333334,0.7659290780141843,0.3800547408578285
15.0,2.0,7.746603025694917e-05,0.121676650682998,0.7636876294242927,0.9552198664267502,0.95062111572646,0.950996008534601,0.9511579419809604,0.6704909541151884,4.693436678806319,20.091507716703426,1.1073333333333335,0.7733333333333332,0.3876756773281692
15.0,2.25,7.746603025694917e-05,0.1057451243871719,0.8227721515037512,0.9548997655266556,0.9506009793602728,0.9509941947247164,0.9511452427560236,0.6766049891841212,4.736234924288848,20.09414461173461,1.221,0.7655177304964538,0.3795122792131737
16.0,1.0,0.0002803004114778,0.1952152604017081,0.8806889473193174,0.968125977234772,0.9681995022656836,0.9683575186009318,0.9684321193538789,0.7070428036553957,4.94929962558777,22.625352836093683,0.5096666666666668,0.730141843971631,0.3716701145401997
16.0,1.25,0.0002803004114778,0.1891067392684067,0.9102740356341128,0.9681660380123828,0.9682390302739012,0.968340377906032,0.9684417509985216,0.7104068960721193,4.972848272504835,22.52305190341419,0.6233333333333335,0.7272624113475176,0.3672603810958009
16.0,1.5,0.0002803004114778,0.1961752628126884,0.8813390311044226,0.9680719001931553,0.9682073624139634,0.9683244451018724,0.9684340986332102,0.7072617715243986,4.95083240067079,22.12256095595618,0.7645000000000001,0.7305531914893616,0.3720478559084079
16.0,1.75,0.0002803004114778,0.1891067392684067,0.9100021748502902,0.9680289714309596,0.9681883334350788,0.9683075391469318,0.9684356300175035,0.7103356697943785,4.972349688560649,22.0274862886578,0.8694583333333334,0.7280851063829786,0.3672603810958009
16.0,2.0,0.0002803004114778,0.1875623830392302,0.9100834715113292,0.96794481093072,0.968164070885496,0.9683265384444008,0.9684072277048535,0.7101098289896439,4.970768802927507,21.78641461169201,0.9863333333333336,0.7280851063829786,0.3666776298958844
16.0,2.25,0.0002803004114778,0.1875623830392302,0.9100851513472412,0.967986124365942,0.9681844264957062,0.9683526563656958,0.968427150601114,0.7101254560894867,4.970878192626407,21.539966879335445,1.109625,0.728496453900709,0.3666776298958844
17.0,1.0,0.0009148976169231,0.2946956444330095,0.9759802578445412,0.98115526304342,0.9763191193688204,0.9764421836020638,0.97650522450157,0.7402875129157641,5.1820125904103485,23.95195806464731,0.4510000000000001,0.6976453900709219,0.3584594973335057
17.0,1.25,0.0009148976169231,0.294117405553055,0.9603813492636248,0.9764061692357284,0.9764361221315584,0.9764955869587464,0.9765295375547902,0.7373258669020608,5.161281068314426,23.601737754362176,0.5683333333333335,0.7038156028368794,0.364185317706413
17.0,1.5,0.0009148976169231,0.294117405553055,0.970789364697254,0.97643716994186,0.9764451902829836,0.976496385702369,0.9765307861966768,0.7388187428558746,5.171731199991122,23.437912592204643,0.6792500000000001,0.7001134751773049,0.3621299325736587
17.0,1.75,0.0005044930332668,0.2481167591620499,0.9583088269021742,0.9763959084129604,0.976427314688892,0.9764872506302554,0.9765267854517828,0.7303953340401973,5.112767338281381,23.00615960389218,0.7443333333333335,0.7058723404255318,0.3631380804225274
