Temperatura ambiente,Tarifa da energia elétrica,IQB 1,IQB 2,IQB 3,IQB 4,IQB 5,IQB 6,IQB 7,IQB médio,IQB total,Recompensa total,Custo elétrico total,Custo de gás total,Custo de água total
20.0,1.0,0.017159695081685637,0.7477871517209621,1.0,1.0,1.0,1.0,1.0,0.8235638352575211,5.764946846802648,5.764946846802648,0.31040303428746885,0.8607446808510637,0.30448049105422975
20.0,1.25,0.017159695081685637,0.7477871517209621,1.0,1.0,1.0,1.0,1.0,0.8235638352575211,5.764946846802648,5.764946846802648,0.38800379285933606,0.8607446808510637,0.30448049105422975
20.0,1.5,0.017159695081685637,0.747780438922122,1.0,1.0,1.0,1.0,1.0,0.8235628762862583,5.764940134003808,5.764940134003808,0.4656103635174854,0.8607446808510637,0.30448049105422975
20.0,1.75,0.017159695081685637,0.7477871517209621,1.0,1.0,1.0,1.0,1.0,0.8235638352575211,5.764946846802648,5.764946846802648,0.5432053100030705,0.8607446808510637,0.30448049105422975
20.0,2.0,0.017159695081685637,0.747780438922122,1.0,1.0,1.0,1.0,1.0,0.8235628762862583,5.764940134003808,5.764940134003808,0.6208138180233139,0.8607446808510637,0.30448049105422975
20.0,2.25,0.017159695081685637,0.747780438922122,1.0,1.0,1.0,1.0,1.0,0.8235628762862583,5.764940134003808,5.764940134003808,0.6984155452762282,0.8607446808510637,0.30448049105422975
