Temperatura ambiente,Tarifa da energia elétrica,Concept ação 1,Concept ação 2,Concept ação 3,Concept ação 4,Concept ação 5,Concept ação 6,Concept ação 7
15.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0
15.0,1.25,0.0,1.0,1.0,1.0,3.0,2.0,0.0
15.0,1.5,0.0,1.0,1.0,1.0,0.0,3.0,4.0
15.0,1.75,0.0,1.0,1.0,1.0,0.0,3.0,2.0
15.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0
15.0,2.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0
