Temperatura ambiente,Tarifa da energia elétrica,IQB 1,IQB 2,IQB 3,IQB 4,IQB 5,IQB 6,IQB 7,IQB médio,IQB total,Recompensa total,Custo elétrico total,Custo de gás total,Custo de água total
15.0,1.0,7.746603025694917e-05,0.1077595773606856,0.8224851206779396,0.9551976661526792,0.9506447493835118,0.9510369318828652,0.9564872139522655,0.6776698179200292,4.7436887254402045,21.1111534913341,0.5426666666666669,1.1439574468085103,0.3779993557250742
15.0,1.25,7.746603025694917e-05,0.1077595773606856,0.8224839869974988,0.9551533615452792,0.9506799832214592,0.951003818539344,0.9511581851993456,0.6769023398419813,4.738316378893869,20.805966869923573,0.6783333333333335,1.1488936170212765,0.3800547408578285
15.0,1.5,7.746603025694917e-05,0.1077595773606856,0.8224857931221304,0.9551483019895944,0.9506393457929716,0.9510046293483142,0.951181405209649,0.6768995026933717,4.738296518853602,20.53144913000593,0.8140000000000001,1.1519787234042551,0.3800547408578285
15.0,1.75,7.746603025694917e-05,0.1077595773606856,0.8224834977544616,0.9550301022365592,0.950678053405842,0.9509640898032696,0.951145834768653,0.6768769459085326,4.738138621359728,20.24957808225287,0.9560833333333334,1.1488936170212765,0.3800547408578285
15.0,2.0,7.746603025694917e-05,0.1077595773606856,0.8224862016626338,0.9550559082634033,0.9506191099460544,0.9509993270930508,0.9511874154570914,0.6768835722590251,4.738185005813175,19.988841919413726,1.0853333333333337,1.1513617021276594,0.3800547408578285
15.0,2.25,7.746603025694917e-05,0.1057451243871719,0.8227726236130914,0.9548979148474718,0.9506004486401536,0.9509939325748756,0.9511451122498292,0.6766046603346929,4.73623262234285,19.7113742367564,1.221,1.1482765957446808,0.3795122792131737
16.0,1.0,0.0002803004114778,0.1891067392684067,0.9104581534646128,0.9681344176328526,0.9681912021226956,0.9683641104155102,0.968439148947245,0.7104248674661143,4.9729740722628,22.40695040575012,0.5005000000000001,1.089659574468085,0.3672603810958009
16.0,1.25,0.0002803004114778,0.1891067392684067,0.910271809902662,0.968168059895514,0.9682400554920932,0.968335788724802,0.9684476861703136,0.7104072056950386,4.97285043986527,22.1594315345426,0.6233333333333335,1.0908936170212764,0.3672603810958009
16.0,1.5,0.0002803004114778,0.1891067392684067,0.910274105951438,0.9681149110648758,0.968240244958246,0.968358759294934,0.9684367652620668,0.7104016894587779,4.972811826211445,21.90867109038696,0.7480000000000001,1.0921276595744678,0.3672603810958009
16.0,1.75,0.0002803004114778,0.1891067392684067,0.909996618241676,0.9680121637483646,0.9682000906822922,0.9683438603482096,0.9684405705361638,0.7103400490337987,4.972380343236591,21.662362966292825,0.8694583333333334,1.0933617021276594,0.3672603810958009
16.0,2.0,0.0002803004114778,0.1875623830392302,0.9100880199490076,0.9680622834186888,0.9682320766619936,0.968371974573447,0.9684217563828432,0.710145542062384,4.971018794436688,21.42423903732302,0.9863333333333336,1.091510638297872,0.3666776298958844
16.0,2.25,0.0002803004114778,0.1875623830392302,0.9097447263431666,0.9679770980873172,0.9681752897426296,0.9683292333425386,0.96842701716963,0.7100708640194272,4.97049604813599,21.18082388737981,1.1054999999999997,1.093978723404255,0.3666776298958844
17.0,1.0,0.0009148976169231,0.2946956444330095,0.9759751988725224,0.9811557478652766,0.9763192378964728,0.9764422419308202,0.9765052533272188,0.7402868888488919,5.182008221942244,23.60311352727133,0.4510000000000001,1.0464680851063828,0.3584594973335057
