Temperatura ambiente,Tarifa da energia elétrica,IQB 1,IQB 2,IQB 3,IQB 4,IQB 5,IQB 6,IQB 7,IQB médio,IQB total,Recompensa total,Custo elétrico total,Custo de gás total,Custo de água total
15.0,1.0,7.760265660639596e-05,0.12948177050219248,0.7961968656991782,0.8924088068570166,0.9494150660218992,0.9481385241245441,0.9347573524952006,0.6643537126223767,4.650475988356638,4.650475988356638,0.4777914182531733,1.1519787234042551,0.37365808737985295
15.0,1.25,7.760265660639596e-05,0.12575138137097183,0.7965836124624085,0.9351913696635237,0.9524216311628347,0.9581696508250186,0.9492040190443323,0.673914181026528,4.717399267185696,4.717399267185696,0.5950417372385399,1.1741914893617018,0.37877547627941965
15.0,1.5,7.760265660639596e-05,0.12948177050219248,0.6603252381933948,0.9338249536694639,0.9517466167306905,0.9507256625329076,0.9500104667055674,0.6537417587129747,4.576192310990823,4.576192310990823,0.7156417567066445,1.1957872340425533,0.3887516842820074
15.0,1.75,4.262436237788879e-06,0.13952275668653932,0.7873584575943442,0.9528422687092982,0.9349330799446308,0.9593162065116895,0.8791295898820387,0.6647295173949683,4.6531066217647785,4.6531066217647785,0.8307554481038217,1.159382978723404,0.3713479642702921
15.0,2.0,6.327819418575888e-05,0.11813236264649254,0.8249555779650855,0.9504010532442181,0.958277651398705,0.9198444263861174,0.9562754014483151,0.6754213930404456,4.727949751283119,4.727949751283119,0.9421302521613457,1.1390212765957446,0.36579483412161834
15.0,2.25,7.760265660639596e-05,0.12074316561404716,0.633031130527375,0.9330395799159976,0.9571734763720617,0.9509305361790149,0.9476417657154528,0.6489481795686508,4.542637256980556,4.542637256980556,1.0626855621377702,1.181595744680851,0.381918100593907
16.0,1.0,0.0002807571176578157,0.20518687256131363,0.9071143076734846,0.9548862249657794,0.9669053363792721,0.9674138778991018,0.9499034793885843,0.7073844079978847,4.951690855985193,4.951690855985193,0.4491342224766819,1.0853404255319148,0.3593237608789075
16.0,1.25,0.0002807571176578157,0.20518687256131363,0.7432002664053233,0.9559402136313747,0.9702247471160226,0.9367680232118503,0.9688143264048973,0.6829164580640628,4.780415206448439,4.780415206448439,0.560649362708762,1.1470425531914892,0.38158373962772546
16.0,1.5,0.0002807571176578157,0.20175259962457814,0.8522307807721816,0.9181265137619429,0.9690929397059809,0.9578799738986895,0.9700060643288823,0.6956242327442732,4.8693696292099125,4.8693696292099125,0.6743300706121123,1.1272978723404254,0.37367246151435113
16.0,1.75,0.0002807571176578157,0.20274675205186093,0.7402308771100268,0.9714918532934325,0.9705635304106185,0.9691861514931494,0.9477272051389615,0.6860324466593868,4.8022271266157075,4.8022271266157075,0.781379889757983,1.1347021276595743,0.37851901528802867
16.0,2.0,0.00017382479996427394,0.17874013291151722,0.9368168215844367,0.9368028897019773,0.967209432531451,0.9088581228131447,0.9682157947516676,0.6995452884420228,4.89681701909416,4.89681701909416,0.8470164984025561,1.1285319148936168,0.36496287966828694
16.0,2.25,0.0002807571176578157,0.20518687256131363,0.8519607604710885,0.9594424116086226,0.8741802417512905,0.9512586702780531,0.9569673804153082,0.6856110134576191,4.799277094203334,4.799277094203334,1.0102684811323934,1.1087872340425529,0.36972024444240004
17.0,1.0,0.0009162651460966031,0.2933242459067435,0.9692747836360989,0.9754812303714144,0.9716379247637458,0.9814259896827224,0.9811204535137035,0.739025841860075,5.173180893020525,5.173180893020525,0.4169585537987835,1.036595744680851,0.35084755831256575
17.0,1.25,0.0009162651460966031,0.29438019314863073,0.9593571837788879,0.9747256592741308,0.9716503280686095,0.9804915911682203,0.9824777067018945,0.7377141324694957,5.16399892728647,5.16399892728647,0.5120241116431189,1.0495531914893614,0.3514836680012557
17.0,1.5,0.0009162651460966031,0.29366375516093607,0.9600698965440367,0.9777520755244548,0.976437233300065,0.9825069595257511,0.9819752138276099,0.7390459141469929,5.173321399028951,5.173321399028951,0.6214156262178541,1.0729999999999997,0.361794693678738
17.0,1.75,0.0009162651460966031,0.2951412998139415,0.9884702907281703,0.977433628446304,0.9770737453794763,0.9768181856438726,0.9766867643117232,0.7417914542099406,5.192540179469584,5.192540179469584,0.6696763862025144,1.0563404255319149,0.34529494297462393
17.0,2.0,0.0009162651460966031,0.29288728395300934,0.9601443574923627,0.9741904904796863,0.9817914278893429,0.7204705230120608,0.9818500782573539,0.7017500608899876,4.912250426229913,4.912250426229913,0.8433481339037304,1.0396808510638298,0.3552746302867524
17.0,2.25,0.0005356646038220606,0.29659241703352834,0.8979413656752775,0.9819631774409754,0.9824496154748177,0.8463087665081289,0.9723894997750167,0.7111686437873666,4.978180506511566,4.978180506511566,0.9469410869095831,1.0433829787234041,0.353731304206939
18.0,1.0,3.71982284368544e-05,0.44333377857848116,0.9585205407146413,0.9919363741525877,0.9914352441242635,0.8847144546842133,0.9374490069550349,0.7439180853482369,5.207426597437658,5.207426597437658,0.37130568344174836,0.9582340425531913,0.315159952028898
18.0,1.25,0.0026974149709609965,0.418260195382891,0.9989469981242146,0.9913457684219616,0.9888902623588487,0.9896268987624559,0.9886834766633151,0.7683501449549498,5.378451014684648,5.378451014684648,0.4682887192970741,0.9829148936170212,0.3365947161962788
18.0,1.5,0.0026974149709609965,0.4045430111412643,1.0,0.990569378463556,0.9737553618340097,0.9874780026676286,0.9912538314208402,0.7643281429283227,5.3502970004982595,5.3502970004982595,0.5712888462431974,0.988468085106383,0.3396147158237027
